job_title,job_category,client_name,fee,description
仮想通貨、defiの作成,その他（システム開発）,hy05055115,"300,000円~500,000円 / 固定",—————————————————————————————仮想通貨とdefiの作成をお願い致します。defiは元ネタのURLをご参考下さい。https://github.com/tombfinance/tombfinance-frontend—————————————————————————————
生産計画システム保守開発改修,ソフトウェア・業務システム開発,株式会社ITAGEGLOBAL,"500,000円~1,000,000円 / 固定",■ 依頼の目的・背景業務拡張のための増員■ 作業範囲・要件定義・設計・デザイン・コーディング・テスト・リリース・導入・運用・保守■ 用意してあるもの・開発環境■ 参考URLなし■ 希望開発言語VB.net■ 開発の継続性この開発の後も、継続的に依頼したいと思っております。■ 補足説明なし
ペアーズみたいなウェブサイト構築,Webシステム開発・プログラミング,株式会社Tokyo Net,"500,000円~1,000,000円 / 固定",■ 依頼の目的・背景pairsのようなマッチングアプリの開発を検討しています。最終的にはネイティブアプリを構築したいのですが、まずはWebアプリを構築したいと考えております。スクラッチではなく、パッケージでWebアプリを構築するときのパッケージをお持ちの方、もしくはパッケージを利用して開発した経験のある方のお話、お見積もりを頂きたいです。よろしくお願い申し上げ...
Amazon SP-APIを活用した無在庫販売ツール開発,Webシステム開発・プログラミング,your_assistant,"500,000円~1,000,000円 / 固定",■ 依頼の目的・背景amazonからSP-APIを活用し、商品情報を取得し、その情報を活用し、QOO10に出品するツールの開発をお願いしたいと思います。■ サイトの種類その他■ 作業範囲ランサーに相談して決めたい■ 用意してあるもの設定なし■ 参考URLなし■ 希望開発言語PHP■ フレームワーク■ 開発の継続性ランサーに相談して決...
有料課金ブログ制作（課金制ニュースサイト）,Webシステム開発・プログラミング,株式会社mimi3,"200,000円~300,000円 / 固定",■ 依頼の目的・背景ニュースサイト（個人でのブログ形式のようなものです）そちらをニュース（記事）を読むために課金性にしたいと考えております。記事に付加価値をつけて意味のある記事を書きたいので、課金制のニュースサイト（ブログサイト）を制作したいと考えております。==================追記1/19==================過去に携帯キャリア大手...
限定公開の仕事,携帯アプリ・モバイル開発,株式会社mimi3,"300,000円~500,000円 / 固定",(非公開オプションが設定されています。内容は詳細画面で確認できます)
美容商材単品通販のLP制作,ランディングページ（LP）制作,umeumeumeume,"50,000円~100,000円 / 固定",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
清掃会社のホームページ作成,ホームページ制作・作成,株式会社PROTEK,"100,000円~200,000円 / 固定",■ サイトの種類企業サイト■ 依頼の目的・背景事業の拡大、宣伝のため新規案件獲得、お客様の信用信頼を勝ち取るため、HP作成に至りました。また、掃除（清掃会社）＝汚い、不潔のイメージから、清潔感やクリーニングはリノベーションという強い理念をもっと多くの方々に届けていきたいと思ってます。■ 期待する効果・検索エンジンの上位に表示してアクセスを増やしたい・商品、サービスの...
不動産業のホームページ作成,ホームページ制作・作成,株式会社ワンライフ,"200,000円~300,000円 / 固定",■ サイトの種類企業サイト■ 依頼の目的・背景会社紹介ホームページ事業内容(中古マンション・戸建の買取、仲介メイン)(戸建新築、リフォーム工事も)小規模(社員２名)の体制なので顔が見える、又、行政書士事務所併設による法律相談(遺言、相続、債務整理等)が行えることをアピールし、資料提供により不動産売却見込み客の獲得及び問い合わせの獲得を目的としたものとしたい。...
美容商材単品通販のLP制作,ランディングページ（LP）制作,umeumeumeume,"50,000円~100,000円 / 固定",■ 依頼の目的・背景美容商材の単品通販LPを制作していただける方を募集しております。LPの原稿等はございますので、その通りにデザインをしていただけましたら幸いです。よろしくお願いします！■ ターゲット像・10代・20代・30代・40代・50代・女性・その他■ ページ数1ページ■ スマホ対応の有無スマートフォン用のサイトのみ■ 参考URL...
